author.and.song.duration,tempo.bpm.,rms.dB.,sampling.frequency.kHz.,sampling.rate.b.,dynamic.range.dB.,tonality,number.of.digital.errors,genre
0.591836735,0.466666667,0.2,0,0,0.275,0.545454545,0,3
0.142857143,0,0.5,0,1,0.25,0.818181818,0,3
0.173469388,0.493333333,0.4,0,0,0.4,0,0,3
0.857142857,0.566666667,0.3,0,1,0.3,0.272727273,0,3
0.010204082,0.666666667,0.8,0,1,0.175,0.454545455,0.428571429,2
0.020408163,0.8,0.7,0,0,0.125,0.727272727,0.571428571,2
0.540816327,0.733333333,0.9,0,1,0.2,0.545454545,0.571428571,2
0.826530612,0.833333333,0.6,0,0,0.2,0.181818182,0.857142857,2
0.867346939,0.733333333,0.5,0,0,0.225,0.181818182,0.428571429,2
0.908163265,0.7,0.4,0,0,0.125,0.181818182,0.714285714,2
1,0.766666667,0.8,0,1,0.175,0.363636364,0.571428571,2
0.479591837,0.8,0.7,0,1,0.05,0.636363636,0.714285714,2
0.214285714,0.773333333,0.7,0,0,0.075,0.272727273,0.428571429,2
0.948979592,0.833333333,0.8,0,0,0.1,0.636363636,0.714285714,2
0.193877551,0.833333333,0.7,0,1,0.1,0.454545455,0.714285714,2
0.030612245,0.846666667,0.7,0,0,0.15,0.272727273,0.857142857,2
0.489795918,0.8,0.8,0,1,0.2,0.727272727,0.714285714,2
0.275510204,0.733333333,0.6,0,1,0.15,0.909090909,0.428571429,2
0.87755102,0.833333333,0.5,0,1,0.1,0,0.571428571,2
0.153061224,0.733333333,0.8,0,0,0.075,0,0.714285714,2
0,0.766666667,0.7,0,1,0.05,0.181818182,0.571428571,2
0.040816327,0.786666667,0.8,0,0,0.175,0.545454545,0.714285714,2
0.887755102,0.866666667,0.8,0,0,0.125,0.454545455,0.857142857,2
0.918367347,0.8,0.5,0,1,0.125,0.454545455,0.714285714,2
0,0.82,0.7,0,1,0.15,0.636363636,0.571428571,2
0.571428571,0.733333333,0.6,0,1,0.025,0.818181818,0.428571429,2
0.642857143,0.766666667,0.7,0,1,0.225,0.363636364,0.571428571,2
0.632653061,0.846666667,0.7,0,0,0.125,0.818181818,0.428571429,2
0.448979592,0.833333333,0.8,0,0,0.125,0.272727273,0.428571429,2
