author and song duration, tempo(bpm), rms(dB), sampling frequency(kHz), sampling rate(b), dynamic range(dB), tonality, number of digital errors,genre
sammy davis jr-please dont talk about me when im gone 02:42,70,-11,44.1,16,41,7,0,Jazz
dean martin-bye bye blackbird 03:05,73,-13,44.1,24,43,5,0,Jazz
billie holiday-what a little moonlight can do 03:13,90,-12,44.1,24,42,8,0,Jazz
chet baker-lets get lost 03:45,83,-13,44.1,24,42,3,0,Jazz
bobby troup-route 66 02:40,74,-13,44.1,16,43,5,0,Jazz
dinah washington-is you is or is you aint my baby 03:25,80,-14,44.1,24,47,10,0,Jazz
fats domino-blue monday 02:20,78,-12,44.1,16,45,4,0,Jazz
ray charles-honey honey 02:43,60,-12,44.1,16,41,7,0,Jazz
eartha kitt-love for sale 03:07,0,-11,44.1,24,48,3,0,Jazz
dodo greene-you dont know me 02:47,75,-13,44.1,24,42,1,0,Jazz
frank sinatra-i get a kick out of you 02:55,0,-14,44.1,24,46,6,0,Jazz
holly cole-blame it on my youth 03:01,0,-13,44.1,24,44,4,0,Jazz
irma thomas-ruler of my heart 02:39,73,-13,44.1,16,44,4,0,Jazz
cassandra wilson-you dont know what love is 06:07,0,-12,44.1,16,43,3,0,Jazz
louis armstrong-a kiss to build a dream on 03:03,70,-13,44.1,16,41,6,0,Jazz
chet baker-my funny valentine 02:20,0,-10,44.1,24,40,9,0,Jazz
dianne reeves-nearness of you misty 03:17,74,-11,44.1,16,46,0,0,Jazz
sarah vaughan-what a difference a day made 02:50,85,-12,44.1,24,42,3,0,Jazz
Aco Pejovic-Litar Krvi 03:25,100,-7,44.1,24,37,5,3,Folk
Alegro Band-Kao da nema me 03:32,120,-8,44.1,16,35,8,4,Folk
Lepa brena-Udji slobodno 04:00,110,-6,44.1,24,38,6,4,Folk
Sandra-Afrika 03:22,125,-9,44.1,16,38,2,6,Folk
Sasa Matic-Poklonite mi nju za rodjendan 05:51,110,-10,44.1,16,39,2,3,Folk
Sladjana Delibasic-Sedmi sprat 05:00,105,-11,44.1,16,35,2,5,Folk
Zeljko Sasic-Crna zeno 02:55,115,-7,44.1,24,37,4,4,Folk
Jovan Perisic-Moje najmilije 03:36,120,-8,44.1,24,32,7,5,Folk
Dzej-Radjaj sinove 03:27,116,-8,44.1,16,33,3,3,Folk
Tina Ivanovic-Bambus 04:03,125,-7,44.1,16,34,7,5,Folk
Djani-Balkanac 03:29,125,-8,44.1,24,34,5,5,Folk
Ana Nikolic-Devojka od cokolade 03:49,127,-8,44.1,16,36,3,6,Folk
kaya-nemoj da me zoves ljubavi 03:58,120,-7,44.1,24,38,8,5,Folk
Ena Popov-uci sam da zaspis 03:17,110,-9,44.1,24,36,10,3,Folk
Seka Aleksic-Kraljica 03:53,125,-10,44.1,24,34,0,4,Folk
Dara-Zidovi 03:22,110,-7,44.1,16,33,0,5,Folk
Aca Lukas-Zapisite mi broj 03:10,115,-8,44.1,24,32,2,4,Folk
Ana Nikolic-Miso moj 03:24,118,-7,44.1,16,37,6,5,Folk
Severina-Gas gas 03:34,130,-7,44.1,16,35,5,6,Folk
Slavica Cukteras-Eskluziva 03:33,120,-10,44.1,24,35,5,5,Folk
Aca Lukas-Zapisite mi broj 03:10,123,-8,44.1,24,36,7,4,Folk
Louis-Obrisi suze mala moja 03:55,110,-9,44.1,24,31,9,3,Folk
Mira Skoric-Ne daj me majko 02:55,115,-8,44.1,24,39,4,4,Folk
Milena Ceranic-Dvadesete Gazim 03:38,127,-8,44.1,16,35,9,3,Folk
Jasar Ahmedovski-Vencajte me sa njenom lepotom 04:20,125,-7,44.1,16,35,3,3,Folk
